train,test,norm,pos,quat
2.2196462,1.0450435,0.13201228,19.056702,0.33419427
1.25785,1.2995051,0.020331776,10.228176,0.25888795
0.9603407,0.88383764,0.014000829,7.504978,0.23160307
0.7767635,0.5314631,0.012715612,5.8726115,0.2091454
0.6572915,0.35707408,0.011576223,4.8231883,0.19312781
0.5882001,0.65662944,0.010610232,4.2381997,0.1814657
0.53555787,0.32434505,0.009798381,3.8071241,0.17096177
0.4924205,0.5761872,0.0089132,3.452098,0.16257703
0.46404216,0.8408953,0.008247473,3.22997,0.15580042
0.44046754,0.29767093,0.0076366453,3.05146,0.1495087
0.42244282,0.44241247,0.007179841,2.919345,0.1442115
0.40317515,0.39151615,0.0067473934,2.7699392,0.13945164
0.3917086,0.37185788,0.0064245374,2.6936584,0.13522258
0.3750187,0.25859717,0.006075761,2.5627706,0.13126004
0.35553586,0.27448475,0.0057747765,2.4025977,0.12744291
0.3479154,0.6199259,0.005563277,2.3560517,0.124170996
0.3435437,0.2470269,0.005406346,2.3377914,0.12135991
0.33592388,0.20160076,0.005244745,2.2876968,0.11847747
0.31950969,0.20559905,0.0050365617,2.151851,0.11535658
0.31540224,0.21905695,0.0049228407,2.1306503,0.113161035
0.30829966,0.34757066,0.004820279,2.0804958,0.110853426
0.30160728,0.22797532,0.0046348916,2.036266,0.10835247
0.2946176,0.26857245,0.00455369,1.9853084,0.10625712
0.29245794,0.25222576,0.00442775,1.9793763,0.10453061
0.28270417,0.24080469,0.004310305,1.898548,0.102687016
0.28184718,0.25275207,0.004194422,1.9036593,0.10117979
0.27417204,0.22365175,0.004073963,1.8443235,0.09925811
0.26556414,0.16063909,0.0039733476,1.7733687,0.09758882
0.26134962,0.17222483,0.0038742379,1.7447394,0.09609804
0.26218987,0.27935314,0.0037738613,1.7658474,0.0946975
0.25990292,0.22647856,0.003687462,1.753687,0.09351718
0.26474944,0.16384576,0.003644446,1.8077942,0.09289507
0.24756739,0.18999888,0.003530702,1.6531405,0.09100029
0.24735862,0.1634991,0.003444632,1.6595979,0.09006042
0.24352549,0.17182139,0.0033823461,1.6299208,0.089105755
0.23936497,0.2702871,0.0032810008,1.600408,0.08777341
0.23351666,0.23289987,0.003190308,1.5527074,0.08658541
0.23804742,0.21941945,0.0031607975,1.6041614,0.08590579
0.22733583,0.13674583,0.0030881707,1.5086309,0.08462657
0.23209444,0.35756728,0.0030585954,1.5582839,0.084400214
0.23181261,0.1707032,0.0029712683,1.5623707,0.08364269
0.22414331,0.092427306,0.0029051437,1.4967451,0.08242032
0.22611809,0.12963893,0.0028946379,1.5202123,0.08200821
0.22074376,0.16223997,0.0028234473,1.4729745,0.08129329
0.21824047,0.23898433,0.0027906867,1.4537855,0.080647625
0.22148027,0.14363103,0.0027516908,1.4914466,0.080067135
0.2085388,0.12462372,0.002679444,1.3718141,0.078988284
0.21019183,0.13568105,0.0026443216,1.3926792,0.07851054
0.21043499,0.16851616,0.00260023,1.3983386,0.07815678
0.20724958,0.15306035,0.0025683907,1.3721426,0.07753165
0.14355612,0.16116549,0.0024623317,0.75917155,0.07488081
0.14191757,0.111058645,0.0023920496,0.74712896,0.07440607
